,0
ASV1043,64.0
ASV1040,64.0
ASV1039,64.0
ASV1038,64.0
ASV1037,64.0
ASV1045,63.0
ASV1046,63.0
ASV1047,63.0
ASV1048,63.0
ASV1049,63.0
ASV1052,62.0
ASV1054,62.0
ASV1053,62.0
ASV1050,62.0
ASV1051,62.0
ASV1055,61.0
ASV1056,61.0
ASV1057,61.0
ASV1058,61.0
ASV1059,61.0
ASV1062,60.0
ASV1065,60.0
ASV1068,60.0
ASV1067,60.0
ASV1066,60.0
ASV1061,60.0
ASV1064,60.0
ASV1063,60.0
ASV1060,60.0
ASV1069,60.0
ASV1072,59.0
ASV1073,59.0
ASV1074,59.0
ASV1071,59.0
ASV1070,59.0
ASV1077,58.0
ASV1078,58.0
ASV1076,58.0
ASV1075,58.0
ASV1080,57.0
ASV1081,57.0
ASV1082,57.0
ASV1083,57.0
ASV1079,57.0
ASV1084,56.0
ASV1085,56.0
ASV1086,56.0
ASV1087,56.0
ASV1088,56.0
ASV1094,55.0
ASV1098,55.0
ASV1097,55.0
ASV1095,55.0
ASV1096,55.0
ASV1093,55.0
ASV1091,55.0
ASV1090,55.0
ASV1089,55.0
ASV1092,55.0
ASV1103,54.0
ASV1107,54.0
ASV1106,54.0
ASV1105,54.0
ASV1104,54.0
ASV1102,54.0
ASV1101,54.0
ASV1100,54.0
ASV1099,54.0
ASV1108,53.0
ASV1109,53.0
ASV1110,53.0
ASV1111,53.0
ASV1112,53.0
ASV1120,52.0
ASV1118,52.0
ASV1121,52.0
ASV1119,52.0
ASV1113,52.0
ASV1117,52.0
ASV1115,52.0
ASV1114,52.0
ASV1116,52.0
ASV1122,51.0
ASV1123,51.0
ASV1124,51.0
ASV1125,51.0
ASV1126,51.0
ASV1127,51.0
ASV1128,51.0
ASV1134,50.0
ASV1137,50.0
ASV1136,50.0
ASV1135,50.0
ASV1129,50.0
ASV1133,50.0
ASV1132,50.0
ASV1131,50.0
ASV1130,50.0
ASV1141,49.0
ASV1142,49.0
ASV1139,49.0
ASV1140,49.0
ASV1138,49.0
ASV1143,48.0
ASV1144,48.0
ASV1145,48.0
ASV1146,48.0
ASV1147,48.0
ASV1148,48.0
ASV1149,48.0
ASV1154,47.0
ASV1156,47.0
ASV1155,47.0
ASV1150,47.0
ASV1153,47.0
ASV1152,47.0
ASV1151,47.0
ASV1160,46.0
ASV1162,46.0
ASV1161,46.0
ASV1157,46.0
ASV1159,46.0
ASV1158,46.0
ASV1163,45.0
ASV1164,45.0
ASV1165,45.0
ASV1166,45.0
ASV1167,45.0
ASV1168,44.0
ASV1170,44.0
ASV1171,44.0
ASV1172,44.0
ASV1169,44.0
ASV1178,43.0
ASV1183,43.0
ASV1182,43.0
ASV1181,43.0
ASV1180,43.0
ASV1179,43.0
ASV1177,43.0
ASV1176,43.0
ASV1175,43.0
ASV1174,43.0
ASV1173,43.0
ASV1191,42.0
ASV1190,42.0
ASV1189,42.0
ASV1188,42.0
ASV1187,42.0
ASV1186,42.0
ASV1185,42.0
ASV1184,42.0
ASV1201,41.0
ASV1200,41.0
ASV1199,41.0
ASV1197,41.0
ASV1198,41.0
ASV1195,41.0
ASV1196,41.0
ASV1193,41.0
ASV1192,41.0
ASV1194,41.0
ASV1202,40.0
ASV1203,40.0
ASV1204,40.0
ASV1205,40.0
ASV1206,40.0
ASV1207,40.0
ASV1208,40.0
ASV1209,40.0
ASV1210,40.0
ASV1211,40.0
ASV1215,39.0
ASV1217,39.0
ASV1216,39.0
ASV1214,39.0
ASV1213,39.0
ASV1212,39.0
ASV1218,38.0
ASV1219,38.0
ASV1220,38.0
ASV1228,37.0
ASV1227,37.0
ASV1226,37.0
ASV1225,37.0
ASV1224,37.0
ASV1223,37.0
ASV1222,37.0
ASV1221,37.0
ASV1241,36.0
ASV1240,36.0
ASV1239,36.0
ASV1238,36.0
ASV1237,36.0
ASV1236,36.0
ASV1235,36.0
ASV1234,36.0
ASV1230,36.0
ASV1229,36.0
ASV1233,36.0
ASV1231,36.0
ASV1232,36.0
ASV1242,35.0
ASV1243,35.0
ASV1244,35.0
ASV1246,35.0
ASV1247,35.0
ASV1248,35.0
ASV1249,35.0
ASV1250,35.0
ASV1245,35.0
ASV1255,34.0
ASV1258,34.0
ASV1257,34.0
ASV1256,34.0
ASV1254,34.0
ASV1253,34.0
ASV1252,34.0
ASV1251,34.0
ASV1259,33.0
ASV1260,33.0
ASV1261,33.0
ASV1262,33.0
ASV1263,33.0
ASV1264,33.0
ASV1265,33.0
ASV1266,33.0
ASV1267,33.0
ASV1268,33.0
ASV1273,32.0
ASV1275,32.0
ASV1274,32.0
ASV1276,32.0
ASV1272,32.0
ASV1269,32.0
ASV1271,32.0
ASV1270,32.0
ASV1278,31.0
ASV1279,31.0
ASV1280,31.0
ASV1281,31.0
ASV1282,31.0
ASV1283,31.0
ASV1284,31.0
ASV1285,31.0
ASV1277,31.0
ASV1291,30.0
ASV1294,30.0
ASV1293,30.0
ASV1292,30.0
ASV1288,30.0
ASV1290,30.0
ASV1289,30.0
ASV1287,30.0
ASV1286,30.0
ASV1301,29.0
ASV1306,29.0
ASV1305,29.0
ASV1304,29.0
ASV1303,29.0
ASV1302,29.0
ASV1298,29.0
ASV1300,29.0
ASV1295,29.0
ASV1299,29.0
ASV1296,29.0
ASV1297,29.0
ASV1307,28.0
ASV1308,28.0
ASV1309,28.0
ASV1310,28.0
ASV1312,28.0
ASV1313,28.0
ASV1314,28.0
ASV1315,28.0
ASV1316,28.0
ASV1317,28.0
ASV1318,28.0
ASV1311,28.0
ASV1321,27.0
ASV1319,27.0
ASV1320,27.0
ASV1328,26.0
ASV1322,26.0
ASV1332,26.0
ASV1330,26.0
ASV1329,26.0
ASV1331,26.0
ASV1327,26.0
ASV1326,26.0
ASV1325,26.0
ASV1324,26.0
ASV1323,26.0
ASV1341,25.0
ASV1349,25.0
ASV1348,25.0
ASV1347,25.0
ASV1346,25.0
ASV1345,25.0
ASV1344,25.0
ASV1342,25.0
ASV1343,25.0
ASV1340,25.0
ASV1338,25.0
ASV1337,25.0
ASV1336,25.0
ASV1335,25.0
ASV1334,25.0
ASV1333,25.0
ASV1339,25.0
